city_state,state_clean,city_clean,shooting_count,avg_victim_age,pct_male,pct_minority,pct_unarmed,pct_mental_illness,pct_body_camera,avg_city_population,avg_police_dollars,avg_police_city_dollars,avg_police_cnty_dollars,years_with_data,latest_year,shooting_rate_per_100k,police_budget_per_capita,budget_tercile,shooting_count_tercile,shooting_rate_tercile,budget_category,shooting_frequency,population_size,shooting_rate_category,unarmed_category,minority_category,mental_illness_category
"Columbia, SC",SC,Columbia,1,17,1,1,0,0,0,117650.63414634146,293940975.60975617,215999999.99999991,77939512.195121944,41,2017,0.849974169077691,2498.4223650178833,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,High_Minority,Rare_Mental
"Pittsfield, MA",MA,Pittsfield,1,36,1,0,0,1,0,47446.756097560981,163933170.73170727,163480975.60975611,771666.66666666686,41,2017,2.1076256466169778,3455.09754965386,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,Low_Minority,Frequent_Mental
"Portland, ME",ME,Portland,1,22,1,1,0,1,0,64258.146341463405,217907317.07317075,198069268.29268295,19838048.7804878,41,2017,1.5562229179255624,3391.1236081294055,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,High_Minority,Frequent_Mental
"Canton, OH",OH,Canton,1,24,1,0,1,1,1,82484.536585365844,281633902.43902445,242111951.21951216,39340975.6097561,41,2017,1.2123484490515,3414.3842482227278,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,Many_Unarmed,Low_Minority,Frequent_Mental
"Chesapeake, VA",VA,Chesapeake,2,30,1,1,0,1,0.5,176498.04878048779,193267317.07317075,193267317.07317075,,41,2017,1.1331570030484688,1095.0110690092617,1,1,1,Low_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,High_Minority,Frequent_Mental
"Flint, MI",MI,Flint,2,37.5,1,0.5,0,0,0,130645.85365853659,328417804.87804872,293981707.31707317,34436097.560975611,41,2017,1.5308560845928669,2513.801974430969,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,Medium_Minority,Rare_Mental
"Lubbock, TX",TX,Lubbock,2,30.5,1,1,0,0,0,201201.14634146341,205216585.3658537,174292926.82926831,30900487.804878052,41,2017,0.9940301217796,1019.9573367120662,1,1,1,Low_Budget,Few_Shootings,Medium,Low_Rate,None_Unarmed,High_Minority,Rare_Mental
"Manchester, NH",NH,Manchester,2,56.5,1,0,0,0,0,102682.90243902437,203789024.39024392,194224878.04878047,9564878.04878049,41,2017,1.9477439305805064,1984.6441768751019,2,1,1,Medium_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,Low_Minority,Rare_Mental
"Rochester, NY",NY,Rochester,2,44,1,0.5,0,0.5,0,226551.51219512196,399394878.0487805,324205853.65853667,75188048.7804878,41,2017,0.88280143470305361,1762.9318567725727,2,1,1,Medium_Budget,Few_Shootings,Medium,Low_Rate,None_Unarmed,Medium_Minority,Frequent_Mental
"Cedar Rapids, IA",IA,Cedar Rapids,2,23,1,0.5,0,0,0,117192.65853658535,236497560.97560969,201892926.82926825,34603902.439024396,41,2017,1.7065915433394128,2018.023687906863,2,1,1,Medium_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,Medium_Minority,Rare_Mental
